Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1974,Females,80–84,9,10.5,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1974,Females,85–89,1,2.6,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1974,Females,90+,0,0,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1974,Females,All ages combined,157,2.3,2.7,3.1,2.2,2,NULL,C43,20
Actual,Melanoma of the skin,1974,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1974,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1974,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1974,Males,15–19,1,0.2,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1974,Males,20–24,5,0.9,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1974,Males,25–29,9,1.6,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1974,Males,30–34,10,2.1,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1974,Males,35–39,10,2.4,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1974,Males,40–44,21,5.3,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1974,Males,45–49,30,7.2,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1974,Males,50–54,25,6.5,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1974,Males,55–59,26,8.5,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1974,Males,60–64,32,11.7,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1974,Males,65–69,34,16.5,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1974,Males,70–74,13,9.1,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1974,Males,75–79,14,17.7,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1974,Males,80–84,8,17.9,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1974,Males,85–89,5,27.6,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1974,Males,90+,1,19.4,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1974,Males,All ages combined,244,3.5,4.8,5.7,3.8,3.4,NULL,C43,20
Actual,Melanoma of the skin,1974,Persons,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1974,Persons,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1974,Persons,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1974,Persons,15–19,1,0.1,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1974,Persons,20–24,6,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1974,Persons,25–29,15,1.3,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1974,Persons,30–34,14,1.5,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1974,Persons,35–39,19,2.4,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1974,Persons,40–44,34,4.4,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1974,Persons,45–49,47,5.8,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1974,Persons,50–54,42,5.6,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1974,Persons,55–59,45,7.3,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1974,Persons,60–64,45,8,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1974,Persons,65–69,57,13,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1974,Persons,70–74,29,8.9,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1974,Persons,75–79,23,11,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1974,Persons,80–84,17,13.1,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1974,Persons,85–89,6,10.5,NULL,NULL,NULL,NULL,NULL,C43,18
