state,year,sex,cases
New South Wales,2014,Males,2558.0
Victoria,2014,Males,1401.0
Queensland,2014,Males,2205.0
Western Australia,2014,Males,774.0
South Australia,2014,Males,482.0
Tasmania,2014,Males,163.0
Australian Capital Territory,2014,Males,81.0
Northern Territory,2014,Males,43.0
New South Wales,2014,Persons,4355.0
Victoria,2014,Persons,2465.0
Queensland,2014,Persons,3710.0
Western Australia,2014,Persons,1306.0
South Australia,2014,Persons,795.0
Tasmania,2014,Persons,332.0
Australian Capital Territory,2014,Persons,144.0
Northern Territory,2014,Persons,68.0
New South Wales,2015,Females,1778.0
Victoria,2015,Females,1161.0
Queensland,2015,Females,1561.0
Western Australia,2015,Females,670.0
South Australia,2015,Females,295.0
Tasmania,2015,Females,136.0
Australian Capital Territory,2015,Females,70.0
Northern Territory,2015,Females,27.0
New South Wales,2015,Males,2581.0
Victoria,2015,Males,1532.0
Queensland,2015,Males,2195.0
Western Australia,2015,Males,900.0
South Australia,2015,Males,474.0
Tasmania,2015,Males,166.0
Australian Capital Territory,2015,Males,84.0
Northern Territory,2015,Males,48.0
New South Wales,2015,Persons,4359.0
Victoria,2015,Persons,2693.0
Queensland,2015,Persons,3756.0
Western Australia,2015,Persons,1570.0
South Australia,2015,Persons,769.0
Tasmania,2015,Persons,302.0
Australian Capital Territory,2015,Persons,153.0
Northern Territory,2015,Persons,75.0
New South Wales,2016,Females,1926.0
Victoria,2016,Females,1253.0
Queensland,2016,Females,1633.0
Western Australia,2016,Females,626.0
South Australia,2016,Females,343.0
Tasmania,2016,Females,148.0
Australian Capital Territory,2016,Females,75.0
Northern Territory,2016,Females,28.0
New South Wales,2016,Males,2857.0
Victoria,2016,Males,1569.0
Queensland,2016,Males,2331.0
Western Australia,2016,Males,919.0
South Australia,2016,Males,463.0
Tasmania,2016,Males,186.0
Australian Capital Territory,2016,Males,92.0
Northern Territory,2016,Males,54.0
New South Wales,2016,Persons,4783.0
Victoria,2016,Persons,2822.0
Queensland,2016,Persons,3964.0
Western Australia,2016,Persons,1545.0
South Australia,2016,Persons,806.0
Tasmania,2016,Persons,334.0
Australian Capital Territory,2016,Persons,167.0
Northern Territory,2016,Persons,82.0
New South Wales,2017,Females,1953.0
Victoria,2017,Females,1309.0
Queensland,2017,Females,1675.0
Western Australia,2017,Females,592.0
South Australia,2017,Females,334.0
Tasmania,2017,Females,159.0
Australian Capital Territory,2017,Females,77.0
Northern Territory,2017,Females,29.0
New South Wales,2017,Males,2967.0
Victoria,2017,Males,1673.0
Queensland,2017,Males,2475.0
Western Australia,2017,Males,870.0
South Australia,2017,Males,469.0
Tasmania,2017,Males,180.0
